DEPTH_M,DEPTH_F,BS,CALI,DENS,DRHO,DTC,DTS,GR,NEUT,PEF,RESD,RESM,RESS,TEMP,TENS
2512.1616,8242.0003,12.5,12.1872,2.4265,0.01754,88.0189,151.008,104.3178,0.244777,2.6767,3.3837,3.3028,3.2893,71,1693.5231
2512.314,8242.5003,12.5,12.1945,2.4326,0.015208,88.3366,151.2614,103.9085,0.235505,2.6888,3.3904,3.3192,3.3119,71,1697.2072
2512.4664,8243.0003,12.5,12.2018,2.4387,0.012877,88.6544,151.5148,103.4992,0.226234,2.7008,3.3971,3.3356,3.3345,71,1700.8912
2512.6188,8243.5003,12.5,12.2034,2.4376,0.016553,88.8787,151.6192,101.503,0.230263,2.6777,3.4678,3.4,3.3954,71,1699.927
2512.7712,8244.0003,12.5,12.2034,2.4346,0.021929,89.0766,151.6814,99.058,0.238054,2.6446,3.5566,3.478,3.4672,71,1697.6482
2512.9236,8244.5003,12.5,12.2034,2.4315,0.027305,89.2745,151.7437,96.6129,0.245844,2.6116,3.6455,3.5559,3.539,71,1695.3693
2513.076,8245.0003,12.5,12.2151,2.4361,0.027972,89.2043,151.5443,96.4392,0.250934,2.6116,3.7831,3.6835,3.6632,71,1694.1039
2513.2284,8245.5003,12.5,12.2384,2.4484,0.023905,88.8646,151.0819,98.5488,0.253308,2.6449,3.9697,3.8609,3.84,71,1693.8572
2513.3808,8246.0003,12.5,12.2618,2.4607,0.019838,88.5249,150.6194,100.6583,0.255683,2.6782,4.1564,4.0384,4.0169,71,1693.6106
2513.5332,8246.5003,12.5,12.2798,2.4695,0.016216,88.1358,150.1819,102.7522,0.256548,2.7062,4.2579,4.1421,4.122,71,1692.6537
2513.6856,8247.0003,12.5,12.2783,2.4655,0.014194,87.5696,149.8334,104.7897,0.251996,2.7151,4.0533,3.9812,3.9693,71,1689.1462
2513.838,8247.5003,12.5,12.2768,2.4616,0.012172,87.0033,149.4849,106.8273,0.247444,2.7241,3.8488,3.8204,3.8166,71,1685.6389
2513.9904,8248.0003,12.5,12.2754,2.4577,0.010149,86.4371,149.1364,108.8648,0.242892,2.7331,3.6442,3.6595,3.6639,71,1682.1316
2514.1428,8248.5003,12.5,12.2571,2.4515,0.018554,86.7368,148.9123,108.0769,0.241432,2.74,3.6356,3.6193,3.6153,71,1677.6161
2514.2952,8249.0003,12.5,12.2378,2.4452,0.027659,87.0947,148.6966,107.0991,0.24018,2.7467,3.6401,3.5871,3.5736,71,1673.0328
2514.4476,8249.5003,12.5,12.2185,2.4388,0.036764,87.4527,148.4809,106.1213,0.238927,2.7534,3.6447,3.555,3.532,71,1668.4496
2514.6,8250.0003,12.5,12.2101,2.4433,0.037916,87.9019,148.1907,104.661,0.239022,2.8803,3.4297,3.3441,3.3164,71,1664.363
2514.7524,8250.5003,12.5,12.2076,2.4535,0.0349,88.399,147.8616,102.9479,0.239824,3.0702,3.0998,3.0397,3.0096,71,1660.5366
2514.9048,8251.0003,12.5,12.205,2.4637,0.031884,88.8961,147.5325,101.2348,0.240625,3.2601,2.7699,2.7352,2.7029,71,1656.7102
2515.0572,8251.5003,12.5,12.2034,2.4643,0.029943,89.2388,147.2012,100.6802,0.241753,3.3821,2.6005,2.5696,2.5357,71,1658.7726
2515.2096,8252.0003,12.5,12.2034,2.449,0.029791,89.3245,146.8663,102.0537,0.243428,3.3911,2.6984,2.6353,2.601,71,1670.6357
2515.362,8252.5003,12.5,12.2034,2.4338,0.029639,89.4102,146.5315,103.4273,0.245102,3.4002,2.7963,2.7009,2.6662,71,1682.4989
2515.5144,8253.0003,12.5,12.204,2.4161,0.029284,89.4751,146.2492,104.5758,0.245919,3.3821,2.877,2.755,2.7215,71,1693.1785
2515.6668,8253.5003,12.5,12.2103,2.3753,0.026983,89.341,146.4706,103.5684,0.238517,3.1047,2.7933,2.6982,2.6809,71,1692.514
2515.8192,8254.0003,12.5,12.2167,2.3345,0.024681,89.2068,146.692,102.5609,0.231116,2.8273,2.7095,2.6414,2.6404,71,1691.8497
2515.9716,8254.5003,12.5,12.223,2.2937,0.022379,89.0727,146.9134,101.5535,0.223714,2.5499,2.6258,2.5846,2.5998,71,1691.1853
2516.124,8255.0003,12.5,12.2224,2.276,0.021477,88.8657,147.3179,100.9079,0.21728,2.4162,2.6276,2.5885,2.5996,71,1694.6156
2516.2764,8255.5003,12.5,12.2203,2.2636,0.020896,88.6421,147.7644,100.3453,0.211068,2.3155,2.6491,2.6064,2.6086,71,1698.9836
2516.4288,8256.0003,12.5,12.2181,2.2511,0.020314,88.4184,148.2108,99.7827,0.204856,2.2147,2.6706,2.6242,2.6176,71,1703.3517
2516.5812,8256.5003,12.5,12.2148,2.2428,0.020036,88.051,148.6085,100.6774,0.203676,2.149,2.6984,2.6552,2.6454,71,1704.27
2516.7336,8257.0003,12.5,12.2107,2.2381,0.020023,87.5575,148.9635,102.8499,0.206909,2.1139,2.7317,2.6977,2.6897,71,1702.1633
2516.886,8257.5003,12.5,12.2065,2.2334,0.02001,87.064,149.3184,105.0224,0.210141,2.0789,2.7651,2.7403,2.7339,71,1700.0566
2517.0384,8258.0003,12.5,12.2055,2.2276,0.020021,86.7938,149.57,106.9506,0.211303,2.0593,2.7737,2.7534,2.7466,71,1698.6289
2517.1908,8258.5003,12.5,12.2137,2.2184,0.020102,87.1868,149.5149,108.1535,0.206316,2.0857,2.7089,2.6794,2.6655,71,1699.217
